##############################################################################
# abuse.ch ZeuS IP blocklist                                                 #
#                                                                            #
# For questions please refer to https://zeustracker.abuse.ch/blocklist.php   #
##############################################################################

103.241.0.100
103.4.52.150
103.7.59.135
107.182.135.109
107.182.135.23
107.182.135.28
107.182.142.41
108.61.63.78
109.120.150.19
109.120.150.246
109.120.183.106
109.127.8.242
109.169.92.40
109.229.210.250
109.229.36.65
109.234.161.35
109.235.59.44
109.237.108.33
109.237.108.92
113.108.204.30
123.30.129.179
128.199.230.64
128.199.232.160
128.210.157.251
137.135.177.196
142.4.200.210
146.185.174.81
146.185.248.21
151.248.125.64
151.97.190.239
159.253.36.110
173.0.51.45
173.230.253.193
173.242.112.135
173.243.112.190
173.249.152.23
176.119.2.90
176.119.2.91
177.140.22.150
178.18.17.93
178.19.99.42
178.217.187.120
178.75.246.57
180.151.58.244
180.182.234.200
184.169.145.165
185.16.212.70
185.20.227.39
185.25.117.49
185.29.8.70
185.5.55.248
186.64.120.104
188.132.136.43
188.219.154.228
188.247.135.53
188.247.135.58
188.247.135.74
188.247.135.99
190.128.29.1
190.14.37.122
190.14.37.138
190.15.192.25
192.198.87.211
192.225.175.71
192.254.79.109
192.64.11.244
192.64.9.116
192.95.12.34
192.99.197.129
193.106.177.243
193.107.16.73
193.107.19.24
193.120.55.242
193.169.244.174
195.3.146.47
198.15.117.228
198.15.117.240
198.245.202.92
198.50.198.162
198.58.93.32
199.175.49.82
199.187.129.193
199.201.121.185
199.204.248.106
199.231.186.170
199.7.234.100
200.98.165.88
202.142.215.16
202.29.230.198
203.170.193.23
204.45.211.76
204.95.99.66
209.200.232.14
210.211.108.215
212.129.10.205
212.225.213.253
212.44.64.202
213.147.67.20
216.176.100.240
216.215.112.149
217.23.138.114
222.29.197.232
23.227.196.6
23.235.201.32
23.235.237.197
31.148.219.85
31.207.1.10
31.6.71.83
31.7.63.146
37.0.123.109
37.0.123.133
37.0.123.149
37.0.123.161
37.0.123.191
37.0.123.204
37.0.123.226
37.0.123.84
37.0.124.118
37.0.124.145
37.0.127.101
37.0.127.107
37.0.127.108
37.0.127.110
37.0.127.112
37.0.127.115
37.0.127.96
37.143.11.189
37.187.131.39
37.187.144.39
37.187.146.148
37.58.51.144
37.58.51.150
37.58.51.155
37.59.217.219
41.186.24.58
41.71.188.2
46.102.246.202
46.166.131.154
46.166.145.113
46.19.143.249
46.21.157.219
46.22.211.47
46.4.150.111
5.199.171.52
5.45.179.132
5.63.158.126
54.243.204.206
58.195.1.4
59.157.4.2
60.13.186.5
62.173.151.82
62.212.85.194
64.127.71.73
64.32.12.51
64.85.233.8
65.200.132.20
65.75.164.128
65.99.237.98
77.40.30.111
78.110.9.77
78.138.104.167
78.153.149.28
80.82.64.142
81.177.141.32
81.4.108.109
81.88.57.96
82.131.180.72
83.15.254.242
83.222.112.221
83.69.233.121
85.25.4.28
85.25.96.254
87.236.210.104
87.236.210.110
87.236.210.124
87.246.143.242
87.247.179.190
87.254.167.37
89.46.251.146
89.46.251.158
89.46.251.169
91.218.121.136
91.226.212.11
91.226.212.170
91.227.18.17
91.228.160.170
91.228.160.201
91.230.60.107
91.230.61.219
91.239.15.219
92.243.30.115
92.53.119.248
92.53.124.62
93.125.99.4
93.171.205.11
93.174.88.3
93.174.89.134
93.186.120.112
93.186.120.42
93.90.182.90
94.102.53.199
94.102.63.147
94.103.36.55
94.23.251.28
95.154.228.163
95.181.178.177
95.215.46.177
98.131.185.136
